feature,mean_abs_shap
person_income,0.79235727
loan_percent_income,0.7347303
loan_int_rate,0.49618787
person_home_ownership_RENT,0.35829252
person_home_ownership_OWN,0.35225353
loan_intent_VENTURE,0.27339807
loan_grade_D,0.2716805
loan_grade_A,0.23902616
loan_amnt,0.19072637
loan_intent_HOMEIMPROVEMENT,0.1721271
loan_intent_DEBTCONSOLIDATION,0.16016683
person_emp_length,0.14426439
loan_intent_MEDICAL,0.13499844
loan_grade_B,0.120462075
person_home_ownership_MORTGAGE,0.10110891
loan_grade_E,0.09679594
loan_grade_C,0.09473797
person_age,0.091508605
loan_intent_EDUCATION,0.056117713
cb_person_cred_hist_length,0.039951384
cb_person_default_on_file_N,0.035678126
loan_grade_F,0.029065859
loan_grade_G,0.019280285
loan_intent_PERSONAL,0.01529481
cb_person_default_on_file_Y,0.007110204
person_home_ownership_OTHER,0.0015312708
